iter	RMSE
261	36229.18369
262	36096.33833
263	36080.779
264	36044.78725
265	35957.84426
266	35872.93023
267	35818.65094
268	35732.4458
269	35692.40259
270	35646.2024
271	35576.18761
272	35498.84738
273	35489.03369
274	35463.15958
275	35366.97522
276	35355.70303
277	35257.77857
278	35103.37571
279	35069.187
280	34952.5976
281	34935.92697
282	34878.98706
283	34868.74485
284	34854.00381
285	34769.20084
286	34752.05234
287	34717.45628
288	34647.98335
289	34556.01045
290	34509.85419
291	34403.32559
292	34343.36519
293	34313.02986
294	34242.44317
295	34167.1032
296	34160.00956
297	34122.61928
298	34054.7198
299	34041.69935
300	33991.58863
301	33931.93182
302	33906.34323
303	33900.47545
304	33819.32202
305	33779.16877
306	33733.69291
307	33706.89686
308	33643.09012
309	33588.29449
310	33516.9649
311	33450.89813
312	33366.33292
313	33354.93387
314	33350.7603
315	33338.94211
316	33281.34268
317	33205.42672
318	33181.62433
319	33138.39065
320	33080.52967
321	33036.90264
322	33011.42793
323	32992.2814
324	32921.927
325	32893.98591
326	32851.97967
327	32841.79708
328	32744.94435
329	32728.81067
330	32670.16822
331	32646.34105
332	32579.10717
333	32512.52115
334	32503.53108
335	32481.4227
336	32467.20058
337	32444.0022
338	32398.8045
339	32339.96663
340	32266.99211
341	32202.40682
342	32164.81213
343	32150.62414
344	32133.36643
345	32111.16052
346	32095.50506
347	32081.86452
348	32018.57123
349	32013.52833
350	31958.82792
351	31906.71261
352	31890.61013
353	31886.89502
354	31866.87739
355	31840.87624
356	31799.21652
357	31720.99744
358	31695.46807
359	31649.42734
360	31584.15771
361	31504.75098
362	31484.75168
363	31451.66876
364	31441.63604
365	31422.85723
366	31349.74189
367	31298.53573
368	31189.1392
369	31121.35222
370	31091.13395
371	31043.24197
372	31027.54234
373	30982.17392
374	30951.6636
375	30936.23703
376	30899.05756
377	30884.92271
378	30847.73882
379	30811.35864
380	30793.10053
381	30783.10467
382	30774.8155
383	30718.41724
384	30703.75783
385	30680.93819
386	30675.1193
387	30650.04468
388	30620.45377
389	30593.58539
390	30588.74727
391	30541.70466
392	30537.75979
393	30508.50431
394	30504.78531
395	30500.62873
396	30497.30225
397	30491.33985
398	30487.71864
399	30484.98026
400	30433.67648
401	30404.56377
402	30396.59472
403	30385.52672
404	30353.63754
405	30338.51932
406	30325.12435
407	30268.68535
408	30247.52774
409	30208.61843
410	30183.24954
411	30160.01549
412	30146.40492
413	30132.82115
414	30100.95022
415	30073.24539
416	30044.71405
417	30008.82671
418	30000.01988
419	29986.57496
420	29982.46743
421	29959.77614
422	29954.94354
423	29907.83477
424	29864.35085
425	29862.04735
426	29823.95217
427	29803.92546
428	29757.50959
429	29736.29434
430	29691.10992
431	29667.67463
432	29639.33972
433	29607.93328
434	29595.43358
435	29573.14655
436	29566.75359
437	29532.91627
438	29505.76757
439	29499.78454
440	29492.64335
441	29484.6551
442	29446.0179
443	29405.77903
444	29328.16201
445	29316.97369
446	29300.72857
447	29261.30764
448	29217.92311
449	29199.69347
450	29137.86188
451	29107.51215
452	29087.62328
453	29080.03643
454	29075.17199
455	29047.3171
456	29019.29184
457	28983.51627
458	28947.81632
459	28905.51599
460	28850.30832
461	28835.35616
462	28802.90469
463	28766.90257
464	28728.89136
465	28694.5215
466	28640.86906
467	28609.68045
468	28572.44807
469	28550.03533
470	28504.57773
471	28465.0376
472	28422.7307
473	28379.46162
474	28347.44091
475	28335.00576
476	28312.07325
477	28289.41475
478	28276.87343
479	28265.82989
480	28220.76461
481	28212.29101
482	28163.57208
483	28119.70197
484	28094.63019
485	28072.09919
486	28035.35693
487	28027.44625
488	28023.07086
489	28001.00569
490	27986.19466
491	27975.65763
492	27941.4727
493	27875.85038
494	27862.04674
495	27851.67817
496	27822.46333
497	27796.2151
498	27768.91708
499	27760.48089
500	27740.12117
501	27716.44501
502	27675.14275
503	27641.17148
504	27618.76126
505	27616.42129
506	27579.83179
507	27543.97797
508	27518.74211
509	27502.46411
510	27485.65464
511	27458.78051
512	27456.57276
513	27433.84085
514	27427.23364
515	27349.01277
516	27337.77807
517	27331.64072
518	27297.51846
519	27283.40617
520	27265.33981
521	27237.93903
522	27231.20383
523	27211.30807
524	27176.88436
525	27165.43295
526	27128.56302
527	27096.55447
528	27077.09669
529	27061.89814
530	27048.63072
531	27039.13864
532	27036.45448
533	27008.21479
534	26966.76892
535	26959.68951
536	26945.26472
537	26921.44262
538	26900.68175
539	26880.66375
540	26875.93152
541	26863.76917
542	26854.09653
543	26832.80488
544	26800.70797
545	26778.49216
546	26753.27651
547	26719.23654
548	26707.53477
549	26705.06296
550	26680.88647
551	26677.51776
552	26660.60075
553	26648.13827
554	26600.84866
555	26567.8729
556	26563.14969
557	26553.53039
558	26540.89349
559	26533.1963
560	26523.48463
561	26509.60909
562	26490.71175
563	26481.34065
564	26476.90021
565	26474.5071
566	26449.31984
567	26434.21824
568	26411.46514
569	26389.77478
570	26376.10538
571	26360.66387
572	26352.038
573	26326.47941
574	26318.9321
575	26310.12527
576	26278.6137
577	26276.37698
578	26247.12171
579	26219.36002
580	26198.95968
581	26184.14682
582	26170.38022
583	26143.71537
584	26116.87374
585	26105.52019
586	26096.26104
587	26092.84278
588	26064.22255
589	26038.52325
590	26031.91024
591	26022.81077
592	26016.6706
593	26007.53432
594	25979.08862
595	25964.88087
596	25933.24765
597	25905.76724
598	25889.6308
599	25862.55659
600	25842.41103
601	25807.14803
602	25805.04435
603	25786.48103
604	25778.46326
605	25772.73602
606	25766.06006
607	25741.12401
608	25726.84655
609	25710.63689
610	25679.42717
611	25643.63397
612	25625.00749
613	25604.67052
614	25602.48009
615	25592.0273
616	25573.82249
617	25544.82811
618	25519.07224
619	25502.78758
620	25455.47244
621	25439.12577
622	25415.39162
623	25404.55679
624	25395.02458
625	25392.49421
626	25376.87957
627	25351.39584
628	25343.67766
629	25323.71693
630	25310.175
631	25302.94703
632	25276.38324
633	25250.59043
634	25225.84092
635	25185.43076
636	25171.18606
637	25169.55057
638	25154.94498
639	25153.4019
640	25146.15352
641	25139.77219
642	25134.68399
643	25103.16677
644	25080.32229
645	25066.89044
646	25062.75333
647	25054.84078
648	25039.98873
649	25004.23058
650	24965.39949
651	24954.03193
652	24929.73478
653	24915.86989
654	24911.47279
655	24886.68213
656	24871.09013
657	24841.19022
658	24824.42305
659	24816.16867
660	24798.04916
661	24775.53962
662	24772.5273
663	24737.23846
664	24712.52752
665	24699.66927
666	24689.53966
667	24682.83812
668	24664.56656
669	24632.04794
670	24625.23799
671	24598.16775
672	24586.58387
673	24579.49318
674	24572.08682
675	24564.68632
676	24530.03688
677	24527.837
678	24512.85711
679	24510.1994
680	24493.41351
681	24466.59124
682	24442.66406
683	24440.29426
684	24420.48716
685	24403.33297
686	24385.1271
687	24374.74565
688	24357.62656
689	24348.14756
690	24342.22647
691	24326.89199
692	24320.58293
693	24296.82406
694	24290.22152
695	24282.70349
696	24267.05368
697	24244.24734
698	24238.95914
699	24215.60185
700	24194.51873
701	24191.40164
702	24184.60581
703	24172.59267
704	24166.08158
705	24152.06289
706	24127.13569
707	24125.57054
708	24111.30046
709	24103.61906
710	24078.39802
711	24070.23227
712	24062.37507
713	24042.70109
714	24031.09327
715	24028.25222
716	24015.25765
717	23993.01588
718	23977.29559
719	23949.20161
720	23932.08725
721	23893.84737
722	23882.92604
723	23870.62678
724	23869.10658
725	23853.65646
726	23832.95862
727	23808.95432
728	23807.5057
729	23790.14648
730	23775.38557
731	23769.25635
732	23763.90676
733	23743.11209
734	23734.07509
735	23723.30021
736	23697.64484
737	23687.61332
738	23666.76408
739	23644.5394
740	23639.4149
741	23632.35019
742	23610.472
743	23602.33537
744	23588.06209
745	23571.65759
746	23560.32646
747	23546.85132
748	23537.72137
749	23533.16147
750	23525.8094
751	23508.17085
752	23488.39045
753	23479.36631
754	23449.08335
755	23444.04939
756	23422.81238
757	23417.56167
758	23391.74904
759	23369.85782
760	23359.96336
761	23353.97861
762	23340.15336
763	23327.67165
764	23317.88287
765	23310.57048
766	23309.19595
767	23307.81569
768	23301.69177
769	23282.12421
770	23263.40246
771	23257.85982
772	23255.60477
773	23239.69315
774	23215.77663
775	23204.19095
776	23182.1588
777	23174.56954
778	23167.43671
779	23147.00148
780	23142.03436
781	23116.55725
782	23110.82895
783	23098.55798
784	23079.53312
785	23069.59043
786	23068.28313
787	23064.88356
788	23055.53084
789	23050.39233
790	23039.32599
791	23022.96628
792	23016.10018
793	23012.99183
794	22995.53413
795	22983.1026
796	22970.97228
797	22954.88166
798	22944.18214
799	22942.90378
800	22923.02628
801	22904.42555
802	22903.27808
803	22897.18063
804	22881.22499
805	22879.09114
806	22863.11182
807	22846.32784
808	22834.64105
809	22832.40326
810	22829.81702
811	22824.30365
812	22805.80851
813	22792.41107
814	22785.4245
815	22775.44062
816	22774.2617
817	22763.53956
818	22754.54006
819	22730.46857
820	22720.2961
821	22706.93695
822	22698.96129
823	22690.17875
824	22677.2148
825	22670.20037
826	22650.74461
827	22637.92593
828	22624.93717
829	22623.79387
830	22611.84796
831	22591.17323
832	22579.3367
833	22553.96147
834	22539.65439
835	22529.44094
836	22528.25893
837	22518.24711
838	22508.88032
839	22503.66941
840	22502.5717
841	22497.31814
842	22478.53972
843	22464.02502
844	22456.21884
845	22445.23996
846	22427.94913
847	22421.90674
848	22412.73208
849	22399.70016
850	22393.3708
851	22388.76226
852	22384.41749
853	22370.14587
854	22362.38156
855	22361.28523
856	22358.07592
857	22347.58155
858	22341.9713
859	22333.23746
860	22330.37292
861	22329.37429
862	22326.67915
863	22310.44767
864	22302.00633
865	22297.18704
866	22296.22251
867	22281.96588
868	22258.11422
869	22237.18151
870	22230.77611
871	22219.60578
872	22209.98118
873	22197.15047
874	22189.92093
875	22168.0363
876	22156.25492
877	22127.76676
878	22119.79733
879	22114.51211
880	22113.51032
881	22092.49394
882	22079.48495
883	22062.1684
884	22053.43689
885	22048.10933
886	22035.96818
887	22022.71016
888	22007.52362
889	21999.11179
890	21994.30561
891	21989.43749
892	21973.68115
893	21958.08509
894	21930.21538
895	21914.24407
896	21910.22783
897	21898.67417
898	21878.59349
899	21857.78804
900	21851.22253
901	21835.92183
902	21816.52157
903	21809.56898
904	21794.10179
905	21784.14847
906	21779.08996
907	21767.67561
908	21764.58342
909	21745.6839
910	21741.03096
911	21732.47935
912	21727.81665
913	21723.47829
914	21709.58414
915	21698.12802
916	21697.25804
917	21689.09719
918	21685.08603
919	21684.16481
920	21679.5005
921	21672.67391
922	21656.70852
923	21640.99108
924	21628.25974
925	21624.68825
926	21606.49541
927	21603.7209
928	21592.32346
929	21591.52703
930	21585.34814
931	21578.00458
932	21559.60799
933	21546.82531
934	21535.73382
935	21529.71737
936	21527.27192
937	21508.34087
938	21496.23603
939	21487.99817
940	21481.93287
941	21475.13324
942	21466.71358
943	21461.60964
944	21454.42068
945	21448.76278
946	21443.61239
947	21435.25086
948	21430.74297
949	21423.74886
950	21411.72953
951	21396.78037
952	21393.09116
953	21385.15617
954	21362.67128
955	21361.69747
956	21354.45831
957	21350.30987
958	21334.73556
959	21324.55296
960	21317.82492
961	21311.72274
962	21310.99373
963	21307.57071
964	21299.28935
965	21287.61332
966	21282.32894
967	21280.88606
968	21268.76367
969	21263.66759
970	21259.63974
971	21250.40196
972	21238.9902
973	21236.31317
974	21212.45998
975	21209.78827
976	21198.10721
977	21197.37218
978	21183.79937
979	21165.76728
980	21162.87206
981	21146.97135
982	21127.55335
983	21120.71762
984	21115.15599
985	21112.35319
986	21100.63746
987	21089.7605
988	21085.83872
989	21081.1935
990	21070.31232
991	21068.21181
992	21061.20436
993	21060.53217
994	21058.11747
995	21040.97756
996	21037.727
997	21021.98047
998	21007.83125
999	21001.04675
