iter	Passed	Remaining
0	2	2688
1	5	2714
2	7	2473
3	9	2349
4	11	2292
5	13	2247
6	15	2204
7	17	2207
8	19	2182
9	21	2174
10	24	2165
11	25	2133
12	27	2109
13	29	2091
14	31	2078
15	33	2088
16	36	2083
17	38	2077
18	40	2077
19	42	2058
20	43	2046
21	45	2039
22	47	2017
23	50	2035
24	52	2032
25	54	2030
26	56	2033
27	59	2054
28	61	2053
29	63	2053
30	65	2058
31	68	2059
32	70	2060
33	72	2065
34	74	2065
35	77	2064
36	79	2071
37	81	2072
38	83	2063
39	85	2052
40	87	2043
41	89	2045
42	91	2044
43	93	2037
44	95	2036
45	98	2039
46	100	2038
47	102	2037
48	104	2033
49	107	2036
50	109	2033
51	111	2031
52	114	2037
53	116	2033
54	118	2033
55	120	2031
56	122	2029
57	124	2026
58	126	2023
59	129	2025
60	131	2025
61	134	2029
62	137	2037
63	139	2039
64	142	2051
65	145	2056
66	147	2056
67	149	2055
68	152	2054
69	154	2055
70	157	2054
71	159	2051
72	161	2052
73	163	2049
74	166	2055
75	169	2065
76	172	2065
77	174	2066
78	177	2066
79	179	2064
80	181	2062
81	184	2062
82	186	2063
83	189	2064
84	191	2066
85	194	2065
86	196	2063
87	199	2063
88	202	2068
89	211	2140
90	214	2147
91	218	2158
92	222	2173
93	227	2188
94	229	2190
95	232	2192
96	236	2198
97	239	2201
98	242	2204
99	244	2202
100	247	2203
101	250	2207
102	253	2206
103	256	2206
104	258	2205
105	261	2204
106	263	2201
107	266	2198
108	268	2194
109	270	2191
110	273	2189
111	275	2185
112	277	2181
113	280	2177
114	282	2173
115	284	2170
116	286	2165
117	289	2163
118	291	2159
119	294	2156
120	296	2155
121	299	2152
122	301	2146
123	303	2141
124	305	2139
125	307	2135
126	310	2135
127	312	2131
128	315	2128
129	317	2124
130	319	2119
131	321	2117
132	324	2113
133	326	2108
134	328	2104
135	330	2100
136	332	2095
137	334	2090
138	337	2088
139	339	2084
140	341	2080
141	343	2075
142	346	2077
143	348	2072
144	350	2068
145	353	2066
146	355	2063
147	358	2062
148	360	2058
149	362	2054
150	365	2053
151	367	2051
152	370	2048
153	372	2045
154	374	2041
155	376	2037
156	379	2037
157	381	2033
158	384	2031
159	386	2028
160	388	2024
161	390	2021
162	392	2017
163	394	2013
164	396	2008
165	398	2004
166	401	2002
167	403	1998
168	405	1996
169	408	1992
170	410	1988
171	412	1985
172	414	1982
173	416	1979
174	419	1976
175	421	1972
176	423	1969
177	425	1964
178	427	1960
179	429	1956
180	431	1953
181	434	1951
182	436	1948
183	438	1944
184	441	1944
185	443	1941
186	445	1938
187	448	1935
188	450	1931
189	451	1926
190	454	1923
191	455	1918
192	457	1914
193	460	1913
194	462	1910
195	465	1908
196	467	1905
197	469	1901
198	471	1898
199	474	1896
200	476	1893
201	478	1889
202	480	1888
203	483	1885
204	485	1882
205	487	1878
206	489	1875
207	491	1870
208	493	1866
209	495	1865
210	498	1862
211	499	1858
212	502	1854
213	504	1852
214	506	1850
215	509	1847
216	511	1844
217	513	1843
218	516	1841
219	518	1839
220	522	1840
221	524	1837
222	526	1833
223	528	1831
224	530	1827
225	532	1823
226	535	1822
227	537	1819
228	539	1816
229	541	1813
230	544	1812
231	546	1809
232	549	1807
233	551	1805
234	553	1802
235	556	1800
236	558	1799
237	561	1798
238	564	1796
239	566	1795
240	569	1793
241	571	1791
242	574	1789
243	577	1788
244	579	1785
245	582	1784
246	584	1782
247	587	1781
248	590	1779
249	592	1777
250	594	1775
251	597	1772
252	599	1769
253	601	1766
254	603	1763
255	605	1760
256	608	1758
257	610	1755
258	612	1751
259	614	1748
260	616	1745
261	618	1741
262	620	1737
263	622	1735
264	625	1733
265	627	1731
266	630	1730
267	632	1727
268	634	1724
269	637	1723
270	639	1720
271	641	1717
272	644	1715
273	646	1711
274	648	1708
275	650	1705
276	652	1702
277	654	1699
278	656	1696
279	658	1693
280	660	1690
281	662	1687
282	664	1684
283	666	1680
284	668	1677
285	671	1675
286	673	1672
287	675	1668
288	677	1665
289	679	1662
290	680	1659
291	683	1656
292	685	1653
293	687	1651
294	689	1648
295	692	1646
296	694	1642
297	695	1639
298	697	1635
299	699	1632
300	701	1629
301	704	1627
302	706	1624
303	708	1621
304	710	1620
305	713	1617
306	715	1614
307	717	1613
308	720	1611
309	722	1608
310	725	1606
311	727	1604
312	729	1601
313	731	1598
314	733	1596
315	736	1593
316	738	1591
317	740	1588
318	742	1585
319	744	1583
320	747	1580
321	749	1578
322	752	1576
323	754	1573
324	756	1570
325	758	1568
326	760	1565
327	762	1562
328	764	1558
329	766	1557
330	768	1554
331	770	1550
332	772	1547
333	774	1544
334	776	1541
335	778	1538
336	780	1535
337	783	1534
338	786	1532
339	788	1530
340	790	1527
341	792	1525
342	794	1522
343	796	1519
344	799	1516
345	801	1514
346	803	1511
347	805	1509
348	807	1506
349	809	1503
350	811	1500
351	814	1498
352	816	1496
353	818	1493
354	820	1489
355	821	1486
356	823	1483
357	825	1480
358	827	1477
359	830	1475
360	832	1473
361	834	1470
362	836	1467
